state_code,district_code,udise_name,lgd_name,method
01,0101,KUPWARA,Kupwara,name
01,0102,BARAMULLA,Baramulla,name
01,0103,SRINAGAR,Srinagar,name
01,0104,BUDGAM,Budgam,name
01,0105,PULWAMA,Pulwama,name
01,0106,ANANTNAG,Anantnag,name
01,0109,DODA,Doda,name
01,0110,UDHAMPUR,Udhampur,name
01,0111,POONCH,Poonch,name
01,0112,RAJOURI,Rajouri,name
01,0113,JAMMU,Jammu,name
01,0114,KATHUA,Kathua,name
01,0115,SHOPIAN,Shopian,name
01,0116,BANDIPORA,Bandipora,name
01,0117,KISHTWAR,Kishtwar,name
01,0118,RAMBAN,Ramban,name
01,0119,GANDERBAL,Ganderbal,name
01,0120,KULGAM,Kulgam,name
01,0121,REASI,Reasi,name
01,0122,SAMBA,Samba,name
02,0201,CHAMBA,Chamba,name
02,0202,KANGRA,Kangra,name
02,0203,LAHUL & SPITI,Lahul And Spiti,fuzzy
02,0204,KULLU,Kullu,name
02,0205,MANDI,Mandi,name
02,0206,HAMIRPUR (H.P.),Hamirpur,fuzzy
02,0207,UNA,Una,name
02,0208,BILASPUR (H.P.),Bilaspur,fuzzy
02,0209,SOLAN,Solan,name
02,0210,SIRMAUR,Sirmaur,name
02,0211,SHIMLA,Shimla,name
02,0212,KINNAUR,Kinnaur,name
03,0301,GURDASPUR,Gurdaspur,name
03,0302,AMRITSAR,Amritsar,name
03,0303,KAPURTHALA,Kapurthala,name
03,0304,JALANDHAR,Jalandhar,name
03,0305,HOSHIARPUR,Hoshiarpur,name
03,0306,SHAHID BHAGAT SINGH NAGAR,Shahid Bhagat Singh Nagar,name
03,0307,RUPNAGAR,Rupnagar,name
03,0308,FATEHGARH SAHIB,Fatehgarh Sahib,name
03,0309,LUDHIANA,Ludhiana,name
03,0310,MOGA,Moga,name
03,0311,FEROZEPUR,Ferozepur,name
03,0312,SRI MUKTSAR SAHIB,Sri Muktsar Sahib,name
03,0313,FARIDKOT,Faridkot,name
03,0314,BATHINDA,Bathinda,name
03,0315,MANSA,Mansa,name
03,0316,SANGRUR,Sangrur,name
03,0317,PATIALA,Patiala,name
03,0318,S.A.S NAGAR,S.A.S Nagar,name
03,0319,TARN TARAN,Tarn Taran,name
03,0320,BARNALA,Barnala,name
03,0321,FAZILKA,Fazilka,name
03,0322,PATHANKOT,Pathankot,name
03,0323,MALERKOTLA,Malerkotla,name
04,0401,CHANDIGARH,Chandigarh,name
05,0501,UTTARKASHI,Uttar Kashi,name
05,0502,CHAMOLI,Chamoli,name
05,0503,RUDRAPRAYAG,Rudra Prayag,name
05,0504,TEHRI GARHWAL,Tehri Garhwal,name
05,0505,DEHRADUN,Dehradun,name
05,0506,PAURI GARHWAL,Pauri Garhwal,name
05,0507,PITHORAGARH,Pithoragarh,name
05,0508,BAGESHWAR,Bageshwar,name
05,0509,ALMORA,Almora,name
05,0510,CHAMPAWAT,Champawat,name
05,0511,NAINITAL,Nainital,name
05,0512,UDHAM SINGH NAGAR,Udam Singh Nagar,fuzzy
05,0513,HARIDWAR,Haridwar,name
06,0601,PANCHKULA,Panchkula,name
06,0602,AMBALA,Ambala,name
06,0603,YAMUNANAGAR,Yamunanagar,name
06,0604,KURUKSHETRA,Kurukshetra,name
06,0605,KAITHAL,Kaithal,name
06,0606,KARNAL,Karnal,name
06,0607,PANIPAT,Panipat,name
06,0608,SONIPAT,Sonipat,name
06,0609,JIND,Jind,name
06,0610,FATEHABAD,Fatehabad,name
06,0611,SIRSA,Sirsa,name
06,0612,HISAR,Hisar,name
06,0613,BHIWANI,Bhiwani,name
06,0614,ROHTAK,Rohtak,name
06,0615,JHAJJAR,Jhajjar,name
06,0616,MAHENDRAGARH,Mahendragarh,name
06,0617,REWARI,Rewari,name
06,0618,GURUGRAM,Gurugram,name
06,0619,FARIDABAD,Faridabad,name
06,0620,NUH,Nuh,name
06,0621,PALWAL,Palwal,name
06,0622,CHARKHI DADRI,Charki Dadri,fuzzy
07,0711,NORTH EAST I,North East,fuzzy
07,0713,NORTH WEST A,North West,fuzzy
07,0714,NORTH WEST B-I,North West,fuzzy
07,0716,WEST B,West,fuzzy
07,0718,SOUTH WEST B-I,South West,fuzzy
07,0720,NEW DELHI,New Delhi,name
07,0721,CENTRAL,Central,name
07,0722,SOUTH EAST,South East,name
07,0723,NORTH EAST II,North East,fuzzy
07,0724,NORTH WEST B-II,North West,fuzzy
07,0725,SOUTH WEST B-II,South West,fuzzy
08,0801,GANGANAGAR,Ganganagar,name
08,0802,HANUMANGARH,Hanumangarh,name
08,0803,BIKANER,Bikaner,name
08,0804,CHURU,Churu,name
08,0805,JHUNJHUNU,Jhunjhunu,name
08,0806,ALWAR,Alwar,name
08,0807,BHARATPUR,Bharatpur,name
08,0808,DHOLPUR,Dholpur,name
08,0809,KARAULI,Karauli,name
08,0810,SAWAI MADHOPUR,Sawai Madhopur,name
08,0811,DAUSA,Dausa,name
08,0812,JAIPUR,Jaipur,name
08,0813,SIKAR,Sikar,name
08,0814,NAGAUR,Nagaur,name
08,0815,JODHPUR,Jodhpur,name
08,0816,JAISALMER,Jaisalmer,name
08,0817,BARMER,Barmer,name
08,0818,JALORE,Jalore,name
08,0819,SIROHI,Sirohi,name
08,0820,PALI,Pali,name
08,0821,AJMER,Ajmer,name
08,0822,TONK,Tonk,name
08,0823,BUNDI,Bundi,name
08,0824,BHILWARA,Bhilwara,name
08,0825,RAJSAMAND,Rajsamand,name
08,0826,UDAIPUR,Udaipur,name
08,0827,DUNGARPUR,Dungarpur,name
08,0828,BANSWARA,Banswara,name
