type,code,name,file,bytes,vertices
country,IN,India,boundaries/country/IN.geojson,1139163,40895
district,0101,Kupwara,boundaries/district/0101.geojson,8806,306
district,0102,Baramulla,boundaries/district/0102.geojson,9760,340
district,0103,Srinagar,boundaries/district/0103.geojson,8133,280
district,0104,Budgam,boundaries/district/0104.geojson,7583,262
district,0105,Pulwama,boundaries/district/0105.geojson,8137,281
district,0106,Anantnag,boundaries/district/0106.geojson,13830,487
district,0109,Doda,boundaries/district/0109.geojson,9755,340
district,0110,Udhampur,boundaries/district/0110.geojson,11884,417
district,0111,Poonch,boundaries/district/0111.geojson,13022,458
district,0112,Rajouri,boundaries/district/0112.geojson,11986,421
district,0113,Jammu,boundaries/district/0113.geojson,15711,555
district,0114,Kathua,boundaries/district/0114.geojson,13520,476
district,0115,Shopian,boundaries/district/0115.geojson,6654,229
district,0116,Bandipora,boundaries/district/0116.geojson,11703,411
district,0117,Kishtwar,boundaries/district/0117.geojson,21596,767
district,0118,Ramban,boundaries/district/0118.geojson,4942,167
district,0119,Ganderbal,boundaries/district/0119.geojson,13581,478
district,0120,Kulgam,boundaries/district/0120.geojson,10571,370
district,0121,Reasi,boundaries/district/0121.geojson,13591,479
district,0122,Samba,boundaries/district/0122.geojson,8874,309
district,0201,Chamba,boundaries/district/0201.geojson,20856,741
district,0202,Kangra,boundaries/district/0202.geojson,21952,779
district,0203,Lahul & Spiti,boundaries/district/0203.geojson,34013,1215
district,0204,Kullu,boundaries/district/0204.geojson,16950,600
district,0205,Mandi,boundaries/district/0205.geojson,14342,506
district,0206,Hamirpur (H.P.),boundaries/district/0206.geojson,7644,264
district,0207,Una,boundaries/district/0207.geojson,11481,402
district,0208,Bilaspur (H.P.),boundaries/district/0208.geojson,11653,408
district,0209,Solan,boundaries/district/0209.geojson,15136,534
district,0210,Sirmaur,boundaries/district/0210.geojson,15917,562
district,0211,Shimla,boundaries/district/0211.geojson,22350,794
district,0212,Kinnaur,boundaries/district/0212.geojson,16739,592
district,0301,Gurdaspur,boundaries/district/0301.geojson,14502,511
district,0302,Amritsar,boundaries/district/0302.geojson,17611,623
district,0303,Kapurthala,boundaries/district/0303.geojson,18043,638
district,0304,Jalandhar,boundaries/district/0304.geojson,20404,723
district,0305,Hoshiarpur,boundaries/district/0305.geojson,17471,617
district,0306,Shahid Bhagat Singh Nagar,boundaries/district/0306.geojson,10854,379
district,0307,Rupnagar,boundaries/district/0307.geojson,14074,496
district,0308,Fatehgarh Sahib,boundaries/district/0308.geojson,9498,331
district,0309,Ludhiana,boundaries/district/0309.geojson,15447,546
